Performing system checks...

System check identified no issues (0 silenced).
/usr/local/lib/python3.10/dist-packages/whitenoise/base.py:109: UserWarning: No directory at: /home/web/sempregreen/staticfiles/
  warnings.warn(f"No directory at: {root}")
August 02, 2023 - 00:31:46
Django version 4.2, using settings 'sempregreen.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

[02/Aug/2023 01:07:45] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 01:07:46] "GET /odds HTTP/1.0" 200 413671
[02/Aug/2023 01:07:48] "GET /favicon.ico HTTP/1.0" 404 179
[02/Aug/2023 01:10:30] "GET /robots.txt HTTP/1.0" 404 179
[02/Aug/2023 01:10:31] "GET /.well-known/assetlinks.json HTTP/1.0" 404 179
[02/Aug/2023 01:12:32] "GET / HTTP/1.0" 200 4581
[02/Aug/2023 01:18:49] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 01:18:49] "GET /dashboard HTTP/1.0" 200 56682
[02/Aug/2023 01:18:50] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 01:18:50] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 01:18:50] "GET /odds HTTP/1.0" 200 509193
[02/Aug/2023 01:20:38] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 01:20:39] "GET /dashboard HTTP/1.0" 200 56682
[02/Aug/2023 01:20:39] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 01:20:39] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 01:20:40] "GET /odds HTTP/1.0" 200 509193
[02/Aug/2023 01:36:08] "GET /refresh HTTP/1.0" 302 0
[02/Aug/2023 01:36:09] "GET /dashboard HTTP/1.0" 200 56693
[02/Aug/2023 01:36:09] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 01:36:09] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 01:36:10] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:36:19] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:36:28] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:36:37] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:36:46] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:36:54] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:37:03] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:37:12] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:37:26] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:37:35] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:37:45] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:37:53] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:38:03] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:38:11] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:38:20] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:38:29] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:38:37] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:38:46] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:38:54] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:39:03] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:39:11] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:39:20] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:39:28] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:39:37] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:39:46] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:39:54] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:40:03] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:40:11] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:40:20] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:40:28] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:40:37] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:40:45] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:40:54] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:41:03] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:41:11] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:41:20] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:41:28] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:41:37] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:41:45] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:41:54] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:42:02] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:42:11] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:42:20] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:42:28] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:42:37] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:42:45] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:42:55] "GET /odds HTTP/1.0" 200 509290
